unit,mes,operados_hist,tasa_sup,pax_x_viaje
BIOTREN_L1,1,741.0,0.0224,213.9
BIOTREN_L1,2,686.0,0.0195,207.0
BIOTREN_L1,3,796.0,0.0157,264.6
BIOTREN_L1,4,760.0,0.0392,266.9
BIOTREN_L1,5,761.0,0.0046,250.6
BIOTREN_L1,6,663.0,0.1004,231.4
BIOTREN_L1,7,769.0,0.0494,218.4
BIOTREN_L1,8,740.0,0.0562,241.4
BIOTREN_L1,9,710.0,0.0146,243.8
BIOTREN_L1,10,838.0,0.0089,240.1
BIOTREN_L1,11,765.0,0.0123,245.1
BIOTREN_L1,12,791.0,0.0106,222.4
BIOTREN_L2,1,2249.0,0.0088,280.5
BIOTREN_L2,2,2047.0,0.0122,276.2
BIOTREN_L2,3,2209.0,0.0127,385.9
BIOTREN_L2,4,1992.0,0.0175,408.3
BIOTREN_L2,5,2002.0,0.0007,381.7
BIOTREN_L2,6,1802.0,0.0721,341.1
BIOTREN_L2,7,2082.0,0.0186,321.9
BIOTREN_L2,8,1901.0,0.0575,375.6
BIOTREN_L2,9,1896.0,0.0039,364.2
BIOTREN_L2,10,2121.0,0.0045,379.0
BIOTREN_L2,11,2129.0,0.0107,352.9
BIOTREN_L2,12,2252.0,0.0029,314.4
CORTO_LAJA,1,256.0,0.0065,247.4
CORTO_LAJA,2,234.0,0.0028,282.5
CORTO_LAJA,3,248.0,0.0067,182.7
CORTO_LAJA,4,239.0,0.0042,175.7
CORTO_LAJA,5,246.0,0.014,156.8
CORTO_LAJA,6,228.0,0.0519,145.2
CORTO_LAJA,7,252.0,0.004,154.2
CORTO_LAJA,8,246.0,0.008,155.2
CORTO_LAJA,9,240.0,0.0,167.5
CORTO_LAJA,10,248.0,0.0,185.8
CORTO_LAJA,11,240.0,0.0,196.9
CORTO_LAJA,12,248.0,0.0,196.5
LLANQUIHUE_PM,1,494.0,0.008,156.2
LLANQUIHUE_PM,2,464.0,0.0,164.4
LLANQUIHUE_PM,3,533.0,0.0111,72.4
LLANQUIHUE_PM,4,354.0,0.0034,105.1
LLANQUIHUE_PM,5,354.0,0.0034,105.1
LLANQUIHUE_PM,6,240.0,0.0,97.2
LLANQUIHUE_PM,7,264.0,0.0,110.7
LLANQUIHUE_PM,8,240.0,0.0,83.8
LLANQUIHUE_PM,9,284.0,0.0,85.1
LLANQUIHUE_PM,10,350.0,0.0057,91.1
LLANQUIHUE_PM,11,317.0,0.0094,98.5
LLANQUIHUE_PM,12,356.0,0.0,91.4
TREN_ARAUCANIA,1,525.0,0.0088,84.3
TREN_ARAUCANIA,2,497.0,0.004,92.6
TREN_ARAUCANIA,3,529.0,0.0137,136.8
TREN_ARAUCANIA,4,582.0,0.0127,120.6
TREN_ARAUCANIA,5,693.0,0.0114,78.5
TREN_ARAUCANIA,6,492.0,0.0556,95.3
TREN_ARAUCANIA,7,571.0,0.0231,103.5
TREN_ARAUCANIA,8,522.0,0.0225,107.0
TREN_ARAUCANIA,9,474.0,0.0104,103.9
TREN_ARAUCANIA,10,536.0,0.0065,112.3
TREN_ARAUCANIA,11,506.0,0.0059,115.1
TREN_ARAUCANIA,12,498.0,0.0368,92.5
