mes,tipo_pasajero,modelo,MAE,RMSE,MAPE_pct,Correlacion,R2,CPC,Desviacion_abs_total,Desviacion_pct_total
3,Normal,historico_proporcional,134.67625420201023,388.50655081353113,18.908151357743733,0.9929023661134173,0.9853739328028158,0.9410035926326048,0.0,0.0
3,Normal,hibrido_historico_gravitacional,163.01177933825187,460.34397469707835,27.455795645212923,0.9909466870915896,0.9794649483937055,0.9285909056759324,0.0,0.0
3,Estudiante,historico_proporcional,55.148911014734814,168.9828768997701,83.80539308628211,0.9954097013960133,0.9876569455535185,0.9231879967410487,0.0,0.0
3,Estudiante,hibrido_historico_gravitacional,65.29346023889474,202.459066884419,101.76718401711689,0.9945564494386606,0.982282121986469,0.9090585582130862,2.9103830456733704e-11,-1.1121023785439716e-14
3,Adulto Mayor,historico_proporcional,17.802805755435706,36.70506942110837,78.56355280547008,0.9941069066532245,0.9874649983782128,0.9132319427459812,0.0,0.0
3,Adulto Mayor,hibrido_historico_gravitacional,18.20261369995029,40.65926223861008,85.8161678040967,0.993583618639974,0.9846187623229057,0.9112833421098335,2.9103830456733704e-11,3.8915627658193686e-14
4,Normal,historico_proporcional,123.84717378696585,313.6801174239005,20.010741086165183,0.9945357623252926,0.9890990717479948,0.9426759414428459,1.1641532182693481e-10,1.4783029414475385e-14
4,Normal,hibrido_historico_gravitacional,139.28032975427283,362.9612147005897,26.657958202795278,0.9931433604081485,0.9854048038216452,0.9355325314695719,1.1641532182693481e-10,1.4783029414475385e-14
4,Estudiante,historico_proporcional,58.180283424936384,173.21343758487805,100.59651237957428,0.9965645439914997,0.9906655204719087,0.9282128515580351,5.820766091346741e-11,-1.970395852336819e-14
4,Estudiante,hibrido_historico_gravitacional,68.39491482342358,210.74408656457345,123.48879403533368,0.9961814170614726,0.9861822369657137,0.9156092818035283,0.0,0.0
4,Adulto Mayor,historico_proporcional,17.46981644885599,35.87586515470482,80.44000190761197,0.9936917880594348,0.9874177037187281,0.9133828269273628,0.0,0.0
4,Adulto Mayor,hibrido_historico_gravitacional,18.17690857864487,37.30881048422302,91.26092411695879,0.9934326855496773,0.9863925124112642,0.9098769903569828,2.9103830456733704e-11,-3.9588430350853294e-14
5,Normal,historico_proporcional,128.87986325455051,315.3779841101068,26.538751578206053,0.9937696929893214,0.9871886150270469,0.9342179890183628,1.1641532182693481e-10,1.630176730846679e-14
5,Normal,hibrido_historico_gravitacional,144.5195220166376,373.3990951872987,36.04066643117433,0.9922329038497121,0.9820410947801193,0.9262352973979918,0.0,0.0
5,Estudiante,historico_proporcional,43.735838850344095,130.75480582440517,91.07079487622035,0.9963364634080538,0.9925339940554184,0.9377813947297434,2.9103830456733704e-11,1.1358877865878906e-14
5,Estudiante,hibrido_historico_gravitacional,51.52023553107715,147.090144976771,108.97063382224881,0.9961310772005643,0.990551993938618,0.926707311847672,5.820766091346741e-11,2.271775573175781e-14
5,Adulto Mayor,historico_proporcional,16.394999784101312,33.35241907329043,81.3247939070785,0.9938429567983846,0.9876117270571252,0.9123692730947295,1.4551915228366852e-11,2.1338683522789994e-14
5,Adulto Mayor,hibrido_historico_gravitacional,16.993000011764117,35.836621013746424,87.1505457279158,0.9934332963235807,0.9856975580100804,0.9091729818272891,0.0,0.0
